,models,accuracy_scores,runtime_on_24Gb_RAM_seconds
0,Ordinary Least Squares Regression,93.13333333333334,0.07095646858215332
1,Logistic Regression,93.13333333333334,2.4037766456604004
2,Default Decision Tree Classifier,89.01666666666667,0.20087623596191406
3,Default Random Forest Classifier,93.25,0.9464173316955566
4,Default XGBoost Classifier,92.98333333333333,1.1571874618530273
5,Default Light GBM Classifier,93.31666666666666,0.22186279296875
6,Tuned Decision Tree Classifier,93.18333333333332,13.970597267150879
7,Tuned Random Forest Classifier,93.43333333333334,832.3678426742554
8,Tuned Light GBM Classifier,93.46666666666667,15.457990407943726
